Data Transakcji;Konto;Oddzia³; Sumy Kwot 
2.10.09;66030;130;21 916,00 z³
22.09.14;66040;130;11 444,00 z³
17.06.10;66050;130;42 671,00 z³
23.09.10;66070;130;42 589,00 z³
25.10.12;66080;130;18 994,00 z³
15.01.13;66090;130;14 032,00 z³
19.06.10;66100;130;17 593,00 z³
12.04.10;66110;130;0,42 z³
20.07.15;66120;130;42 644,00 z³
11.09.17;66130;130;49,66 z³
5.10.09;66510;140;23,37 z³
4.10.12;66520;140;23,57 z³
1.09.09;66530;140;42 386,00 z³
19.03.13;66550;140;29 860,00 z³
13.01.11;68050;170;0,02 z³
24.05.16;61510;150;36,41 z³
7.03.10;61520;150;96,48 z³
29.12.13;61530;150;42 611,00 z³
13.07.12;61540;150;42 036,00 z³
14.01.11;61550;150;90,68 z³
7.09.15;61560;150;11 444,00 z³
28.07.16;61570;150;96,97 z³
12.07.15;62010;150;468,38 z³
5.08.10;62020;150;199,80 z³
28.03.13;62030;150;0,32 z³
25.07.13;62099;150;30 651,00 z³
16.07.17;62510;120;76,10 z³
30.09.15;62520;120;26,49 z³
9.04.16;62530;120;24 807,00 z³
1.11.14;62550;120;25,91 z³
18.09.12;62560;120;16 254,00 z³
15.10.12;63050;150;14 246,00 z³
14.11.13;64000;150;151,53 z³
12.07.14;64010;150;30 956,00 z³
10.11.09;64020;150;42 647,00 z³
23.10.09;65540;110;308,26 z³
8.11.09;65550;110;33,25 z³
18.12.12;65570;110;46 419,00 z³
8.12.11;65590;110;31,20 z³
23.02.13;65600;110;155,70 z³
30.06.14;65610;110;22,34 z³
6.12.15;65660;110;26 238,00 z³
16.05.15;65690;110;33,21 z³
5.04.11;65700;110;148,83 z³
4.11.15;65710;110;458,40 z³
13.03.17;65730;110;18 142,00 z³
7.10.11;65740;110;306,84 z³
29.01.13;65750;110;406,59 z³
18.07.09;65760;110;43 497,00 z³
7.10.10;65770;110;0,41 z³
1.11.09;65900;170;45,56 z³
6.02.13;66010;130;13 940,00 z³
23.12.14;66020;130;128,06 z³
13.01.10;66030;130;21 916,00 z³
17.06.17;66040;130;11 444,00 z³
23.10.09;66050;130;42 671,00 z³
26.05.15;66070;130;42 589,00 z³
1.03.10;66080;130;18 994,00 z³
21.02.16;66090;130;14 032,00 z³
20.02.10;66100;130;17 593,00 z³
30.08.15;66110;130;0,42 z³
22.03.13;66120;130;42 644,00 z³
17.07.15;66130;130;49,66 z³
31.03.14;66510;140;23,37 z³
8.12.10;66520;140;23,57 z³
29.09.09;66530;140;42 386,00 z³
10.08.09;66550;140;29 860,00 z³
20.03.14;68050;170;0,02 z³
30.10.12;71010;120;377,69 z³
14.03.13;71020;120;175,19 z³
25.11.16;71030;120;61,67 z³
23.08.15;71040;120;0,78 z³
17.12.10;71050;120;139,44 z³
11.07.09;71060;120;52,87 z³
1.08.10;71070;120;73,22 z³
22.05.16;71080;120;27 150,00 z³
27.05.11;71160;150;68,68 z³
10.09.12;71170;150;184,47 z³
2.07.13;71180;150;42 533,00 z³
13.10.16;71190;150;12 114,00 z³
15.07.14;71200;150;33,31 z³
25.12.11;71240;150;170,59 z³
7.02.11;71299;150;41 579,00 z³
19.06.10;71310;150; 1,622,63 
15.09.11;71325;150;373,74 z³
20.02.10;71550;150;45,24 z³
25.06.13;71560;140;43,02 z³
26.11.13;72010;110; 1,676,57 
16.08.17;72020;110; 2,430,43 
9.03.17;72040;130;254,70 z³
30.09.15;72050;140;341,43 z³
2.02.11;72060;150; 2,294,26 
6.03.13;72070;150; 2,642,55 
5.02.12;72090;150;497,56 z³
29.12.16;72100;150;32 112,00 z³
18.09.15;72110;160; 1,806,82 
8.06.15;72120;160; 2,224,52 
26.08.10;72130;160;218,13 z³
14.02.11;72140;160;477,18 z³
23.12.09;72150;165; 1,119,48 
8.12.09;72160;170; 1,173,36 
30.09.09;72999;150;210,24 z³
1.11.13;73010;110;123,65 z³
29.07.11;73010;130;22 251,00 z³
8.11.16;73010;140;13,80 z³
18.09.13;73010;150;201,95 z³
7.01.10;73010;160;179,60 z³
12.12.12;73010;165;41,74 z³
4.11.12;73010;170;125,60 z³
4.09.11;73020;110;71,09 z³
29.07.17;73020;130;16 589,00 z³
29.04.16;73020;140;42 497,00 z³
26.09.16;73020;150;125,05 z³
12.08.16;73020;160;94,51 z³
18.10.14;73020;165;21,50 z³
5.05.12;73020;170;19,31 z³
22.09.14;73030;110;183,69 z³
16.02.15;73030;150;244,39 z³
30.07.10;73030;160;155,49 z³
8.04.16;73030;165;49,66 z³
10.06.13;73030;170;15,50 z³
6.09.14;73040;110;116,10 z³
16.11.15;73040;150;146,70 z³
16.04.13;73040;160;75,60 z³
24.03.15;73040;165;24,30 z³
17.07.11;73050;110;30,24 z³
20.02.14;73050;130;21 976,00 z³
6.11.11;73050;140;20 149,00 z³
4.12.13;73050;150;53,58 z³
15.07.16;73050;160;42,11 z³
21.04.14;73050;165;45 536,00 z³
22.01.14;73050;170;16,94 z³
11.11.09;80990;110;689,00 z³
4.12.11;81010;110;19,46 z³
7.10.11;81010;160;86,07 z³
13.07.13;81040;160;63,63 z³
5.11.14;81050;160;412,49 z³
4.01.10;81090;160;204,33 z³
12.11.14;81100;160;61,92 z³
25.09.09;81110;160;30 773,00 z³
18.02.10;81120;160;12,00 z³
1.08.13;81130;160;45,29 z³
7.08.14;81150;160;15,20 z³
17.11.12;81170;160;71,70 z³
3.12.09;81200;160;96,19 z³
26.07.15;81210;160;15 554,00 z³
26.08.15;81220;160;0,58 z³
22.08.16;81230;160;105,86 z³
14.04.13;81270;160;31,77 z³
26.05.11;81280;160;42 491,00 z³
25.01.15;81350;160;42 558,00 z³
3.01.16;81900;165;19 815,00 z³
11.02.14;82030;130;20 760,00 z³
13.06.10;82040;130;18,52 z³
7.08.11;82050;150; 1,843,65 
8.01.10;82060;170;232,55 z³
4.05.14;83010;170;46,67 z³
12.02.11;83020;130;55,20 z³
29.03.11;83020;160;178,56 z³
3.09.09;83020;170;392,89 z³
15.09.13;83030;150;77,03 z³
13.10.12;83050;170;172,84 z³
9.06.12;83060;170;103,82 z³
21.10.09;83070;170;112,31 z³
15.10.16;84020;130;171,90 z³
20.12.14;84020;170;111,41 z³
20.05.11;84030;150;48,75 z³
10.07.12;85010;170;73,02 z³
11.05.10;85510;170;465,00 z³
24.10.16;86010;110;167,34 z³
8.02.16;86010;130;32 356,00 z³
22.05.12;86010;140;42 523,00 z³
26.05.13;86010;150;347,59 z³
22.09.15;86010;160;65,81 z³
29.04.16;86010;165;30 987,00 z³
30.07.15;86010;170;34 304,00 z³
27.08.12;86020;150;42 677,00 z³
29.05.10;86030;110;38,52 z³
27.12.14;86040;110; 1,212,09 
2.05.17;86040;150;90,68 z³
27.05.15;86050;110;84,51 z³
2.11.10;86050;150;48,34 z³
4.04.17;86050;160;116,62 z³
28.05.16;86100;110;133,13 z³
15.05.11;86100;120;60,19 z³
27.08.15;86100;150;51,62 z³
31.10.12;86100;160;43 282,00 z³
9.02.15;86100;170;142,25 z³
9.09.16;86140;110;44,66 z³
28.04.13;86150;110;116,13 z³
27.11.12;86180;110;15 008,00 z³
10.02.10;86180;140;14,25 z³
12.02.15;86180;160;722,25 z³
1.11.09;86200;150;329,35 z³
17.06.17;86200;160;81,68 z³
13.11.15;86260;120;35,28 z³
2.08.10;86270;150;39,73 z³
7.12.15;86280;150;148,95 z³
14.01.11;86290;150;153,42 z³
26.10.12;86310;150;55,72 z³
6.06.14;86330;150;290,83 z³
6.06.17;86350;150;87,52 z³
2.06.14;86360;150;150,00 z³
16.05.17;86400;170;0,05 z³
6.08.10;86450;170;18,79 z³
1.02.14;86820;170;14 977,00 z³
31.12.13;86830;170;25,25 z³
15.08.09;86840;170;3,00 z³
12.12.13;61510;150;36,41 z³
11.07.11;61520;150;96,48 z³
7.11.15;61530;150;42 611,00 z³
29.12.12;61540;150;42 036,00 z³
29.04.15;61550;150;90,68 z³
5.01.16;61560;150;11 444,00 z³
19.08.15;61570;150;96,97 z³
28.12.10;62010;150;468,38 z³
17.03.14;62020;150;199,80 z³
27.11.15;62030;150;0,32 z³
22.09.16;62099;150;30 651,00 z³
8.10.14;62510;120;76,10 z³
28.08.11;62520;120;26,49 z³
23.04.12;62530;120;24 807,00 z³
6.06.10;62550;120;25,91 z³
7.06.12;62560;120;16 254,00 z³
13.02.14;63050;150;14 246,00 z³
15.03.12;64000;150;151,53 z³
23.12.16;64010;150;30 956,00 z³
18.04.12;64020;150;42 647,00 z³
31.08.09;65540;110;308,26 z³
15.03.12;65550;110;33,25 z³
7.09.13;65570;110;46 419,00 z³
22.11.13;65590;110;31,20 z³
5.12.16;65600;110;155,70 z³
5.11.10;65610;110;22,34 z³
25.01.11;65660;110;26 238,00 z³
18.06.12;65690;110;33,21 z³
4.03.10;65700;110;148,83 z³
21.06.11;65710;110;458,40 z³
23.01.11;65730;110;18 142,00 z³
6.07.15;65740;110;306,84 z³
19.10.14;65750;110;406,59 z³
27.01.11;65760;110;43 497,00 z³
11.04.12;65770;110;0,41 z³
25.06.10;65900;170;45,56 z³
13.03.12;66010;130;13 940,00 z³
17.04.12;66020;130;128,06 z³
13.07.16;66030;130;21 916,00 z³
24.04.12;66040;130;11 444,00 z³
16.06.17;66050;130;42 671,00 z³
9.03.15;66070;130;42 589,00 z³
17.05.12;66080;130;18 994,00 z³
30.12.15;66090;130;14 032,00 z³
5.06.16;66100;130;17 593,00 z³
14.02.17;66110;130;0,42 z³
12.07.14;66120;130;42 644,00 z³
15.11.11;66130;130;49,66 z³
15.09.15;66510;140;23,37 z³
3.08.17;66520;140;23,57 z³
3.10.16;66530;140;42 386,00 z³
25.05.15;66550;140;29 860,00 z³
2.03.11;68050;170;0,02 z³
25.07.11;61510;150;48,54 z³
18.09.17;61520;150;128,64 z³
17.05.10;61530;150;38,77 z³
12.02.13;61540;150;31 809,00 z³
4.07.13;61550;150;120,91 z³
24.12.14;61560;150;42 589,00 z³
28.02.15;61570;150;129,29 z³
24.12.10;62010;150;624,51 z³
22.08.13;62020;150;266,40 z³
23.02.13;62030;150;0,42 z³
27.01.11;62099;150;42 660,00 z³
5.12.11;62510;120;101,46 z³
11.01.16;62520;120;35,32 z³
10.09.13;62530;120;16,89 z³
25.05.17;62550;120;34,55 z³
16.11.12;62560;120;34 213,00 z³
8.04.16;63050;150;31 413,00 z³
18.12.09;64000;150;202,04 z³
23.08.09;64010;150;14,45 z³
26.12.10;64020;150;16 923,00 z³
3.05.12;65540;110;411,02 z³
27.09.11;65550;110;44,33 z³
9.10.14;65570;110;42 403,00 z³
2.03.15;65590;110;41,60 z³
2.10.11;65600;110;207,60 z³
19.07.09;65610;110;29,78 z³
23.10.10;65660;110;15,62 z³
7.06.11;65690;110;44,28 z³
12.05.10;65700;110;198,44 z³
14.05.11;65710;110;611,21 z³
3.09.16;65730;110;24 442,00 z³
10.12.09;65740;110;409,13 z³
9.04.14;65750;110;542,13 z³
23.07.17;65760;110;34 001,00 z³
22.06.13;65770;110;0,54 z³
17.01.17;65900;170;60,75 z³
27.09.10;66010;130;18 719,00 z³
17.03.12;66020;130;170,75 z³
13.03.12;66030;130;41 306,00 z³
3.12.14;66040;130;42 558,00 z³
10.09.10;66050;130;37,46 z³
25.03.15;66070;130;16 316,00 z³
23.05.15;66080;130;42 431,00 z³
22.09.13;66090;130;18 841,00 z³
12.06.14;66100;130;23 833,00 z³
9.05.11;66110;130;0,56 z³
5.04.14;66120;130;17 168,00 z³
15.10.10;66130;130;66,22 z³
20.07.10;66510;140;31,16 z³
27.09.15;66520;140;31,43 z³
12.07.09;66530;140;22,68 z³
24.01.14;66550;140;14,42 z³
27.05.14;68050;170;0,02 z³
4.03.16;61510;150;46,93 z³
4.09.13;61520;150;124,35 z³
17.11.09;61530;150;37,48 z³
8.07.17;61540;150;28 522,00 z³
11.01.17;61550;150;116,88 z³
21.08.10;61560;150;31 199,00 z³
13.04.13;61570;150;124,98 z³
16.02.15;62010;150;603,69 z³
13.09.13;62020;150;257,52 z³
4.07.17;62030;150;0,41 z³
2.05.16;62099;150;16,53 z³
11.01.17;62510;120;98,08 z³
18.02.13;62520;120;34,15 z³
13.05.17;62530;120;16,33 z³
23.12.10;62550;120;33,39 z³
9.06.11;62560;120;21 794,00 z³
2.06.13;63050;150;29 221,00 z³
4.04.14;64000;150;195,31 z³
2.06.13;64010;150;13,97 z³
22.10.09;64020;150;46 874,00 z³
1.10.14;65540;110;397,32 z³
9.10.15;65550;110;42,85 z³
3.02.11;65570;110;33 635,00 z³
7.02.17;65590;110;40,21 z³
14.05.10;65600;110;200,68 z³
17.08.17;65610;110;28,79 z³
2.03.13;65660;110;42 658,00 z³
12.11.12;65690;110;42,80 z³
7.12.10;65700;110;191,82 z³
24.08.17;65710;110;590,83 z³
14.03.17;65730;110;45 261,00 z³
12.05.15;65740;110;395,49 z³
1.04.16;65750;110;524,06 z³
26.02.13;65760;110;30 348,00 z³
12.06.11;65770;110;0,52 z³
16.02.17;65900;170;58,73 z³
16.10.11;66010;130;13 241,00 z³
6.04.13;66020;130;165,06 z³
6.10.12;66030;130;42 523,00 z³
22.06.14;66040;130;30 834,00 z³
28.02.11;66050;130;36,21 z³
29.02.12;66070;130;42 713,00 z³
17.03.13;66080;130;35 065,00 z³
5.08.10;66090;130;44 774,00 z³
23.12.10;66100;130;17 989,00 z³
9.05.13;66110;130;0,54 z³
1.01.13;66120;130;15 342,00 z³
18.10.15;66130;130;64,01 z³
4.04.13;66510;140;42 734,00 z³
13.08.13;66520;140;30,38 z³
5.07.17;66530;140;21,92 z³
28.09.15;66550;140;13,94 z³
10.10.12;68050;170;0,02 z³
6.01.17;61510;150;43,69 z³
15.11.15;61520;150;115,78 z³
7.07.15;61530;150;34,90 z³
9.04.12;61540;150;21 217,00 z³
22.06.13;61550;150;108,82 z³
9.04.10;61560;150;14 032,00 z³
31.07.12;61570;150;116,36 z³
28.04.14;62010;150;562,06 z³
25.04.14;62020;150;239,76 z³
9.07.14;62030;150;0,38 z³
20.04.14;62099;150;15,39 z³
24.11.14;62510;120;91,32 z³
29.10.10;62520;120;31,79 z³
10.11.16;62530;120;15,20 z³
10.06.11;62550;120;31,09 z³
31.10.15;62560;120;34 182,00 z³
7.12.13;63050;150;24 473,00 z³
30.01.14;64000;150;181,84 z³
14.04.13;64010;150;42 382,00 z³
26.02.15;64020;150;33 329,00 z³
2.08.14;65540;110;369,92 z³
1.03.13;65550;110;39,90 z³
12.06.16;65570;110;26 330,00 z³
6.06.14;65590;110;37,44 z³
29.11.10;65600;110;186,84 z³
29.01.16;65610;110;26,80 z³
10.11.13;65660;110;42 504,00 z³
3.07.13;65690;110;39,85 z³
1.07.17;65700;110;178,59 z³
2.08.10;65710;110;550,09 z³
16.10.15;65730;110;14 550,00 z³
12.01.17;65740;110;368,21 z³
15.01.14;65750;110;487,91 z³
2.07.13;65760;110;23 043,00 z³
9.10.14;65770;110;0,49 z³
27.01.17;65900;170;54,68 z³
9.03.15;66010;130;42 525,00 z³
27.02.15;66020;130;153,67 z³
8.08.14;66030;130;33 604,00 z³
17.06.10;66040;130;13 667,00 z³
15.01.17;66050;130;33,71 z³
2.12.09;66070;130;18 111,00 z³
15.03.12;66080;130;29 952,00 z³
24.04.11;66090;130;24 289,00 z³
18.04.10;66100;130;43 191,00 z³
22.08.17;66110;130;0,50 z³
14.03.11;66120;130;11 689,00 z³
27.08.11;66130;130;59,59 z³
10.12.16;66510;140;42 488,00 z³
25.04.16;66520;140;28,29 z³
8.10.14;66530;140;20,41 z³
10.09.17;66550;140;36 130,00 z³
30.12.16;68050;170;0,02 z³
30.12.12;61510;150;43,69 z³
29.06.12;61520;150;115,78 z³
26.10.11;61530;150;34,90 z³
25.04.11;61540;150;21 217,00 z³
28.11.09;61550;150;108,82 z³
1.09.10;61560;150;14 032,00 z³
29.04.13;61570;150;116,36 z³
14.12.13;62010;150;562,06 z³
11.01.10;62020;150;239,76 z³
7.11.12;62030;150;0,38 z³
14.07.13;62099;150;15,39 z³
14.10.15;62510;120;91,32 z³
17.03.13;62520;120;31,79 z³
11.12.13;62530;120;15,20 z³
5.10.11;62550;120;31,09 z³
15.09.14;62560;120;34 182,00 z³
9.03.15;63050;150;24 473,00 z³
2.10.15;64000;150;181,84 z³
11.05.17;64010;150;42 382,00 z³
31.03.16;64020;150;33 329,00 z³
18.12.14;65540;110;369,92 z³
4.11.09;65550;110;39,90 z³
15.01.16;65570;110;26 330,00 z³
8.07.14;65590;110;37,44 z³
11.03.12;65600;110;186,84 z³
23.03.12;65610;110;26,80 z³
18.01.13;65660;110;42 504,00 z³
16.07.12;65690;110;39,85 z³
23.01.11;65700;110;178,59 z³
12.03.13;65710;110;550,09 z³
31.05.13;65730;110;14 550,00 z³
30.05.12;65740;110;368,21 z³
20.08.09;65750;110;487,91 z³
14.02.11;65760;110;23 043,00 z³
23.07.14;65770;110;0,49 z³
7.06.11;65900;170;54,68 z³
7.08.13;66010;130;42 525,00 z³
14.05.16;66020;130;153,67 z³
14.06.17;66030;130;33 604,00 z³
19.03.10;66040;130;13 667,00 z³
20.07.09;66050;130;33,71 z³
8.12.11;66070;130;18 111,00 z³
9.10.10;66080;130;29 952,00 z³
24.10.13;66090;130;24 289,00 z³
2.07.10;66100;130;43 191,00 z³
23.01.16;66110;130;0,50 z³
18.05.12;66120;130;11 689,00 z³
11.03.10;66130;130;59,59 z³
5.05.10;66510;140;42 488,00 z³
21.11.13;66520;140;28,29 z³
1.02.17;66530;140;20,41 z³
3.11.10;66550;140;36 130,00 z³
26.01.12;68050;170;0,02 z³
17.12.11;61510;150;43,69 z³
8.09.10;61520;150;115,78 z³
5.11.16;61530;150;34,90 z³
28.07.09;61540;150;21 217,00 z³
4.06.17;61550;150;108,82 z³
5.02.10;61560;150;14 032,00 z³
1.03.12;61570;150;116,36 z³
1.12.09;62010;150;562,06 z³
12.05.11;62020;150;239,76 z³
28.10.15;62030;150;0,38 z³
27.08.10;62099;150;15,39 z³
19.07.10;62510;120;91,32 z³
29.10.09;62520;120;31,79 z³
26.02.12;62530;120;15,20 z³
30.09.16;62550;120;31,09 z³
28.01.16;62560;120;34 182,00 z³
28.04.13;63050;150;24 473,00 z³
12.04.13;64000;150;181,84 z³
12.10.09;64010;150;42 382,00 z³
9.06.15;64020;150;33 329,00 z³
25.03.15;65540;110;369,92 z³
15.05.16;65550;110;39,90 z³
19.06.15;65570;110;26 330,00 z³
13.03.15;65590;110;37,44 z³
22.12.14;65600;110;186,84 z³
25.05.15;65610;110;26,80 z³
15.08.13;65660;110;42 504,00 z³
17.04.15;65690;110;39,85 z³
